id,date,duration,quantity,SFS,E,SAT,ENV,SENV,MT,CT,DIST,recipe_id,user_id,end_time,hour,meal_time,Breakfast,Lunch,Dinner,Snack
1,2023-11-08 10:25:00+00:00,15.0,300,4.0,{},4.0,2.0,1.0,1.0,1.0,1.0,186596,3,2023-11-08 10:40:00+00:00,10.0,Breakfast,1,0,0,0
2,2023-11-08 11:45:00+00:00,10.0,1 Plate,3.0,{},4.0,4.0,4.0,2.0,3.0,4.0,216053,1,2023-11-08 11:55:00+00:00,11.0,Lunch,0,1,0,0
3,2023-11-08 11:50:00+00:00,3.0,1 Glass,2.0,{},5.0,4.0,4.0,2.0,3.0,4.0,486653,1,2023-11-08 11:53:00+00:00,11.0,Lunch,0,1,0,0
4,2023-11-08 10:30:00+00:00,4.0,1 piece,5.0,{},4.0,2.0,1.0,1.0,1.0,1.0,351592,6,2023-11-08 10:34:00+00:00,10.0,Breakfast,1,0,0,0
5,2023-11-08 15:00:00+00:00,5.0,1 piece,5.0,{},5.0,2.0,1.0,2.0,1.0,1.0,214148,6,2023-11-08 15:05:00+00:00,15.0,Dinner,0,0,1,0
6,2023-11-08 15:00:00+00:00,5.0,4 table spoons,5.0,{},5.0,2.0,1.0,2.0,1.0,1.0,228543,6,2023-11-08 15:05:00+00:00,15.0,Dinner,0,0,1,0
7,2023-11-08 18:13:00+00:00,20.0,142,5.0,{},4.0,2.0,1.0,3.0,1.0,1.0,42044,3,2023-11-08 18:33:00+00:00,18.0,Dinner,0,0,1,0
8,2023-11-08 15:00:00+00:00,5.0,1 piece,2.0,{},3.0,4.0,3.0,4.0,3.0,4.0,136034,3,2023-11-08 15:05:00+00:00,15.0,Dinner,0,0,1,0
9,2023-11-08 09:20:00+00:00,15.0,A plate,3.0,{},4.0,2.0,2.0,1.0,1.0,4.0,316298,5,2023-11-08 09:35:00+00:00,9.0,Breakfast,1,0,0,0
10,2023-11-08 17:21:00+00:00,20.0,Two plates,4.0,{},5.0,2.0,2.0,3.0,1.0,4.0,17424,5,2023-11-08 17:41:00+00:00,17.0,Dinner,0,0,1,0
11,2023-11-08 20:23:00+00:00,8.0,1 piece,4.0,{},4.0,2.0,2.0,4.0,3.0,4.0,372597,5,2023-11-08 20:31:00+00:00,20.0,Dinner,0,0,1,0
12,2023-11-08 12:30:00+00:00,15.0,A plate,4.0,{},3.0,3.0,6.0,2.0,3.0,0.0,378770,8,2023-11-08 12:45:00+00:00,12.0,Lunch,0,1,0,0
