id,question_id,category,sub_category,weight,question,choices,not_applicable_choice
1,OCI_general_heading,OCI,"",1,Index of organic consumption intensity (OCI),{},
2,OCI_general_description,OCI,"",1,This questionnaire is about your consumption of organic food products.,{},
3,OCI_1,OCI,"",1,How much do you consider yourself informed about organic farming methods?,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Completely""}",
4,OCI_2,OCI,"",1,How confident are you about the organic farming methods?,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Completely""}",
5,OCI_3,OCI,"",1,How often do you consume organic food products?,"{""1"": ""Less than once a month"", ""2"": ""Once a month"", ""3"": ""Once a week"", ""4"": ""Several times a week"", ""5"": ""Every day""}",
6,OCI_general_question,OCI,"",1,How important are the following motivations for buying organic products?,{},
7,OCI_4,OCI,"",1,Healthiness,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Extremely""}",
8,OCI_5,OCI,"",1,Better taste,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Extremely""}",
9,OCI_6,OCI,"",1,Fresher products,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Extremely""}",
10,OCI_7,OCI,"",1,Rigorous safety control,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Extremely""}",
11,OCI_8,OCI,"",1,Distrust in conventional,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Extremely""}",
12,OCI_9,OCI,"",1,Environmental protection,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Extremely""}",
13,OCI_10,OCI,"",1,Biodiversity protection,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Extremely""}",
14,OCI_11,OCI,"",1,Support of rural farmers,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Extremely""}",
15,OCI_12,OCI,"",1,Modern and trendy,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Extremely""}",
16,OCI_13,OCI,"",1,Curiosity,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Extremely""}",
17,FSCI_general_heading,FSCI,"",1,Index of consumers' food sustainability concerns (FSCI),{},
18,FSCI_general_description,FSCI,"",1,This questionnaire is about your consumption of sustainable food products.,{},
19,FSCI_general_question,FSCI,"",1,How important are the following aspects when choosing food products?,{},
20,FSCI_1,FSCI,"",1,Is obtained in an environmentally friendly way,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Very much""}",
21,FSCI_2,FSCI,"",1,Is produced in a way that respects biodiversity,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Very much""}",
22,FSCI_3,FSCI,"",1,Is grown using sustainable agricultural practices,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Very much""}",
23,FSCI_4,FSCI,"",1,Is produced respecting animal welfare,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Very much""}",
24,FSCI_5,FSCI,"",1,Is produced without the use of pesticides,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Very much""}",
25,FSCI_6,FSCI,"",1,Is produced with low carbon emissions,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Very much""}",
26,FSCI_7,FSCI,"",1,Is produced in an unspoilt environment,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Very much""}",
27,FSCI_8,FSCI,"",1,Is produced reducing the amount of food waste,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Very much""}",
28,FSCI_9,FSCI,"",1,Is packaged in an environmentally friendly way,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Very much""}",
29,FSCI_10,FSCI,"",1,Is locally produced to support local farmers,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Very much""}",
30,FSCI_11,FSCI,"",1,Is produced in respect of human rights,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Very much""}",
31,FSCI_12,FSCI,"",1,Is sold at a fair price for the producer,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Very much""}",
32,FSCI_13,FSCI,"",1,Keeps me healthy,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Very much""}",
33,SLI_general_heading,SLI,"",1,Index of sustainable lifestyle (SLI),{},
34,SLI_general_description,SLI,"",1,This questionnaire is about your lifestyle.,{},
35,SLI_general_question,SLI,"",1,Can you indicate how much the following statements reflect your lifestyle?,{},
36,SLI_1,SLI,"",1,Whenever I can I do voluntary work.,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Very much""}",
37,SLI_2,SLI,"",1,I use public transport to reduce pollution.,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Very much""}",
38,SLI_3,SLI,"",1,I spend a lot of time outdoors.,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Very much""}",
39,SLI_4,SLI,"",1,I try to reduce food waste.,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Very much""}",
40,SLI_5,SLI,"",1,I recycle and sort waste.,"{""1"": ""Not at all"", ""2"": ""Slightly"", ""3"": ""Moderately"", ""4"": ""Very"", ""5"": ""Very much""}",
41,FOP_general_heading,FOP,"",1,Familiarity with front-of-pack nutrition labels (FOPs),{},
42,FOP_general_description,FOP,"",1,"This questionnaire is about your familiarity with front-of-pack labels. Some of them refer to to quality product, some to the context of the food or its packaging, and others healthiness.",{},
43,FOP_1,FOP,"",1,How familiar are you with the `ASC` label?,"{""1"": ""Not at all familiar"", ""2"": ""Moderately familiar"", ""3"": ""Extremely familiar""}",
44,FOP_2,FOP,"",1,How familiar are you with the `MSC` label?,"{""1"": ""Not at all familiar"", ""2"": ""Moderately familiar"", ""3"": ""Extremely familiar""}",
45,FOP_3,FOP,"",1,How familiar are you with the `Animal-care` label?,"{""1"": ""Not at all familiar"", ""2"": ""Moderately familiar"", ""3"": ""Extremely familiar""}",
46,FOP_4,FOP,"",1,How familiar are you with the `BIO` label?,"{""1"": ""Not at all familiar"", ""2"": ""Moderately familiar"", ""3"": ""Extremely familiar""}",
47,FOP_5,FOP,"",1,How familiar are you with the `V-Label`?,"{""1"": ""Not at all familiar"", ""2"": ""Moderately familiar"", ""3"": ""Extremely familiar""}",
48,FOP_6,FOP,"",1,How familiar are you with the `NUTRI-Score` label?,"{""1"": ""Not at all familiar"", ""2"": ""Moderately familiar"", ""3"": ""Extremely familiar""}",
49,FOP_7,FOP,"",1,How familiar are you with the `EU Community` labels?,"{""1"": ""Not at all familiar"", ""2"": ""Moderately familiar"", ""3"": ""Extremely familiar""}",
50,FOP_8,FOP,"",1,How familiar are you with the `Fairtrade` label?,"{""1"": ""Not at all familiar"", ""2"": ""Moderately familiar"", ""3"": ""Extremely familiar""}",
51,FOP_9,FOP,"",1,How familiar are you with the `Green-dot` label?,"{""1"": ""Not at all familiar"", ""2"": ""Moderately familiar"", ""3"": ""Extremely familiar""}",
52,FOP_10,FOP,"",1,How familiar are you with the `Single-use deposit` label?,"{""1"": ""Not at all familiar"", ""2"": ""Moderately familiar"", ""3"": ""Extremely familiar""}",
53,FOP_11,FOP,"",1,How familiar are you with the `Blue Angel` label?,"{""1"": ""Not at all familiar"", ""2"": ""Moderately familiar"", ""3"": ""Extremely familiar""}",
